댐코드,댐명,측정월,수온,수소이온농도지수(pH),용존산소(DO),생물학적 산소요구량(BOD),화학적 산소요구량(COD),부유물질(SS),총질소(T-N),총인(T-P),인산염인(PO4-P),탁도,전기전도도
3303110,부안,2025-06-20,14,6.6,8.6,1,2.2,0.6,1.533,0.003,0,0.8,73
4104610,주암(조),2025-06-20,10,7.1,9.4,0.4,2.2,1,0.96,0.006,0,2.1,78
2015110,합천,2025-05-20,9,9.6,10.9,2.2,3.4,3.6,1.246,0.017,0.005,0.4,111
1003110,충주,2025-05-20,13,8.2,10.3,1.6,2.4,0.8,2.299,0.009,0.002,1.1,232
2503220,구천,2025-05-20,7,7,7.7,1,2.7,14.4,,,,1.9,
5002201,평림,2025-05-20,12,7.7,9.8,0.6,3.6,0.8,0.977,0.019,0,1.8,
3001110,용담,2025-05-20,15,7.7,9.1,0.4,2.6,0.4,1.814,0.005,0,1.2,156
3303110,부안,2025-05-20,18,6.9,7.6,1.1,2.6,0.8,1.508,0.005,0,0.8,75
2503210,연초,2025-05-20,18,7,8.5,1.1,2.6,4.4,,,,2.6,
3203110,보령,2025-05-20,13,7.8,9,1.2,3.6,2.8,2.441,0.016,0.002,2.7,150
2002110,임하,2025-05-20,10,7.4,8.9,0.3,3.6,1,1.387,0.012,0.009,0.7,175
4001110,섬진강,2025-05-20,18,7.4,9.4,2.3,3.7,2.2,1.966,0.017,0,1.3,135
2018110,남강,2025-05-20,18,7.9,7.4,0.7,1.9,0.8,1.453,0.009,0.005,2.1,89
2021110,밀양,2025-05-20,15,7.4,10.1,1.1,1.5,3.5,0.781,0.006,0.004,1.8,50
4007110,주암(본),2025-05-20,9,6.2,9.2,0.7,2.8,0.6,0.803,0.007,0.001,2.1,79
1012110,소양강,2025-05-20,12,7.2,10,1.5,1.6,3,2.109,0.009,0.003,0.2,93
2001110,안동,2025-05-20,7,7.5,10.5,0.4,3.5,0.4,1.291,0.006,0.003,0.6,187
3008110,대청,2025-05-20,6,8.3,11.5,1,1.9,1.2,1.825,0.015,0.007,0.4,190
5101110,장흥,2025-05-20,10,7.7,11,1.5,3.3,1.9,0.763,0.014,0.003,1.8,75
4104610,주암(조),2025-05-20,9,6.6,10,0.4,2.4,0.2,1.005,0.007,0.001,1.8,79
1006110,횡성,2025-05-20,14,7.3,9.7,2.1,2.6,1.6,2.205,0.008,0.003,1.5,126
2008101,군위,2025-05-20,17,7.1,9.9,0.2,5.4,0.8,1.261,0.012,0,1.2,100
2021210,운문,2025-05-20,10,7.3,11.2,1.8,3.4,3.8,1.734,0.014,0.003,4,63
3203110,보령,2025-04-20,9,7.9,11.7,1.3,4.1,2,2.213,0.01,0.001,2.1,145
2503210,연초,2025-04-20,15,6.8,9.1,1,2.6,3.6,,,,2.7,
2021110,밀양,2025-04-20,11,7.4,10.6,1.2,2,1.2,0.773,0.007,0.004,1.7,63
2503220,구천,2025-04-20,6,6.9,9,1,2.1,5.6,,,,1.5,
4001110,섬진강,2025-04-20,11,7.7,10,2.2,3.6,2.1,2.032,0.013,0,1.3,131
3303110,부안,2025-04-20,9,7,10.7,1.1,2.6,0.9,1.437,0.005,0.002,0.9,75
4007110,주암(본),2025-04-20,8,7.1,10.8,0.4,2.8,1.6,0.946,0.011,0.002,2.7,76
3001110,용담,2025-04-20,10,7.6,9.2,0.5,3.2,0.8,1.837,0.005,0,1.1,153
2021210,운문,2025-04-20,8,7.2,12.3,1.4,3.2,3.1,1.667,0.007,0.003,2.9,63
1006110,횡성,2025-04-20,9,7.3,9.4,1.8,2.2,1,1.972,0.006,0.002,1.5,123
1003110,충주,2025-04-20,8,7.8,11.7,1.9,2.3,1,2.261,0.01,0.002,1.4,248
2018110,남강,2025-04-20,14,7.9,7.6,0.9,1.9,0.8,1.01,0.002,0.002,2.2,110
4104610,주암(조),2025-04-20,8,7.7,11.4,0.3,2.1,0.6,1.075,0.01,0.003,1.4,62
5002201,평림,2025-04-20,10,7.7,10.2,1.1,4.1,0.4,1.282,0.031,0.005,3.1,
5101110,장흥,2025-04-20,9,7,11.6,2.5,3.4,0.9,0.706,0.02,0.002,2.7,76
2015110,합천,2025-04-20,9,9.2,10.2,1.2,2.7,2.8,1.235,0.016,0.004,1.3,111
1012110,소양강,2025-04-20,9,7.6,9.5,1.3,1.6,2,2.029,0.008,0.001,0.2,83
2001110,안동,2025-04-20,10,7.1,8.7,0.4,3,0.3,1.374,0.009,0.006,0.7,161
2002110,임하,2025-04-20,9,7.5,10,1,3.6,0.8,1.458,0.014,0.007,1.1,166
3008110,대청,2025-04-20,5,8.3,11.5,0.7,1.5,1.2,2.185,0.013,0.004,0.4,179
2008101,군위,2025-04-20,11,7.3,9.9,0.2,5.5,0.8,1.364,0.012,0.006,12.2,112
3001110,용담,2025-03-20,7,7.6,12.1,1.3,3.1,0.8,1.752,0.007,0,1.2,132
3303110,부안,2025-03-20,7,7,10.9,0.5,2.6,1,1.466,0.005,0,0.9,73
3008110,대청,2025-03-20,3,8,12.7,0.7,1.5,0.8,1.812,0.013,0.002,0.3,103
1012110,소양강,2025-03-20,6,7.1,10.1,1.2,2,0.3,2.194,0.005,0.001,0.1,81
5002201,평림,2025-03-20,7,7.9,11.3,1.9,5.4,1.6,1.099,0.036,0.008,2.3,
2008101,군위,2025-03-20,6,6.9,12.6,0.4,3,2.2,1.49,0.009,0.004,12.8,101
4007110,주암(본),2025-03-20,7,7.6,10.8,0.4,2.2,0.4,0.904,0.01,0.001,1.6,77
2503210,연초,2025-03-20,10,6.8,10.2,0.9,2.9,5,,,,1.8,
2002110,임하,2025-03-20,7,7.1,9.4,0.5,3.1,0.7,1.412,0.015,0.009,3.7,181
2001110,안동,2025-03-20,9,7.4,8.9,0.6,2.6,0.4,1.211,0.014,0.009,0.7,187
1003110,충주,2025-03-20,8,7.8,11.7,1.9,2.4,1,2.339,0.008,0.002,1.4,248
5101110,장흥,2025-03-20,7,7.4,11.6,2.2,2.7,1.6,0.952,0.003,0,0.8,73
2021210,운문,2025-03-20,5,7.2,13,1.7,3.3,3.3,1.542,0.007,0.001,2.3,62
4001110,섬진강,2025-03-20,7,7.5,10.1,2.2,3.3,2.1,1.882,0.017,0,1.3,134
2018110,남강,2025-03-20,9,7.8,10.2,1.3,2.1,2,1.815,0.004,0.002,0.9,112
1006110,횡성,2025-03-20,6,7.4,9.2,2,2,1,1.714,0.007,0.002,1.6,158
3203110,보령,2025-03-20,6,7.9,12.4,1.8,3.5,3.6,2.296,0.014,0.003,2.6,152
2021110,밀양,2025-03-20,7,7.5,10.8,0.9,1.2,1.2,0.823,0.004,0.004,1.9,63
2015110,합천,2025-03-20,8,8.2,11.2,0.5,2.6,3.6,1.583,0.02,0.013,1.2,111
2503220,구천,2025-03-20,7,6.6,9.6,0.9,1.8,4.8,,,,2,
4104610,주암(조),2025-03-20,8,7.5,11.3,0.5,2.3,1.2,1.017,0.01,0,3.3,77
3001110,용담,2025-02-20,6,7.4,12.2,1.2,3,0.4,1.692,0.007,0,0.5,124
1012110,소양강,2025-02-20,7,7.5,11,1,1.9,0.3,2.011,0.003,0.002,0.3,84
2008101,군위,2025-02-20,4,6.8,11,0.4,6.4,1.4,1.445,0.012,0.004,1.3,104
2503210,연초,2025-02-20,12,7,11,0.9,2.8,8,,,,2.7,
5101110,장흥,2025-02-20,7,6.6,10.2,1.6,2.1,1.3,0.751,0.017,0,0.7,73
1003110,충주,2025-02-20,6,8.4,11.8,2.6,2.8,0.8,2.641,0.012,0.003,1.2,251
3203110,보령,2025-02-20,5,7.9,12.3,1,3.4,1.2,2.296,0.009,0.002,2.5,171
1006110,횡성,2025-02-20,8,7.2,9.6,2.2,2.6,0.9,1.721,0.006,0.004,1.4,156
2021110,밀양,2025-02-20,7,7.5,11.4,0.9,0.8,3.6,0.762,0.009,0.003,2.8,66
2001110,안동,2025-02-20,7,7.5,7.8,0.8,3.3,0.5,1.28,0.015,0.007,1.1,199
5002201,평림,2025-02-20,6,7.9,11.9,1.3,4.9,0.8,1.445,0.018,0,2.9,
3303110,부안,2025-02-20,7,7.2,10.9,0.6,2.8,0.9,1.432,0.005,0.001,1.1,75
3008110,대청,2025-02-20,2,8.2,14.3,1.5,3,0.8,1.843,0.01,0.007,0.4,183
4104610,주암(조),2025-02-20,9,7.8,10.5,0.9,2.2,1,1.026,0.007,0,2.1,73
4001110,섬진강,2025-02-20,6,7.5,9.9,2.1,3.3,1.8,1.727,0.018,0,1.2,142
2021210,운문,2025-02-20,4,7.6,12.9,1.4,3.1,4.2,1.561,0.007,0,4.1,63
4007110,주암(본),2025-02-20,7,7,10.5,0.5,2.3,0.6,0.921,0.007,0.003,1.8,73
2018110,남강,2025-02-20,8,7.7,10.1,1.5,3.1,0.8,1.712,0.016,0.002,0.8,127
2503220,구천,2025-02-20,6,6.9,10,1,2.3,5.4,,,,3,
2015110,합천,2025-02-20,8,9.8,11.6,0.8,2.8,2.8,1.736,0.014,0.002,1,109
2002110,임하,2025-02-20,6,7.4,8.9,0.7,4.2,0.9,1.506,0.015,0.007,5.4,189
1003110,충주,2025-01-20,10,7.9,10.3,2.6,2.3,0.4,2.194,0.013,0.003,1.2,223
3001110,용담,2025-01-20,9,7.3,9.9,1.2,2.7,1.2,1.755,0.005,0,0.5,121
2015110,합천,2025-01-20,8,9.8,11.1,0.5,2.6,3.6,1.614,0.014,0.005,2.3,111
3203110,보령,2025-01-20,6,8.1,11.2,1.4,3.1,1.1,2.869,0.014,0.001,2.7,175
2008101,군위,2025-01-20,5,7,10.3,0.1,5.4,1.3,1.207,0.011,0,1,100
1006110,횡성,2025-01-20,5,7.2,8.2,2.2,2.6,1.2,1.253,0.011,0.003,1.7,154
2018110,남강,2025-01-20,8,7.5,7.8,1.6,2.6,2.8,1.288,0.004,0.002,3,89
3303110,부안,2025-01-20,8,6.7,8.8,1.1,2.4,1.3,0.294,0.003,0,1.2,76
5101110,장흥,2025-01-20,8,7.2,9.5,2.2,3.4,1.2,2.312,0.01,0.001,0.9,72
2503210,연초,2025-01-20,15,6.9,10.8,1,2.5,12,,,,2.3,
2001110,안동,2025-01-20,7,7.1,8,0.8,2.2,0.4,1.419,0.013,0.009,0.5,196
2503220,구천,2025-01-20,6,6.7,8,1,1.8,16,,,,2.9,
2002110,임하,2025-01-20,9,7,8.1,0.8,3.1,1.4,1.571,0.016,0.011,7.1,183
4104610,주암(조),2025-01-20,9,7.4,8,0.3,2.2,0.4,0.892,0.007,0.003,2.8,78
3008110,대청,2025-01-20,6,8.2,11.4,0.8,1.7,0.8,1.789,0.007,,0.9,138
5002201,평림,2025-01-20,7,7.8,11.4,1.3,3,0.4,1.187,0.018,0,2.2,
2021110,밀양,2025-01-20,8,7.5,9.8,0.5,2.2,0.4,1.95,0.012,0.007,4.2,73
1012110,소양강,2025-01-20,9,7.2,11.3,1.5,1.9,2,2.015,0.006,0.004,0.1,82
4007110,주암(본),2025-01-20,9,6.7,10,0.7,2.5,1,0.81,0.007,0.003,2.8,80
2021210,운문,2025-01-20,5,7.1,12,1.6,3.4,4.4,1.685,0.005,62,3.8,0
4001110,섬진강,2025-01-20,11,7.4,9.6,2.2,3.3,2.2,1.72,0.021,0,1.2,144
4104610,주암(조),2025-12-19,15,7.1,7.7,0.6,2.6,0.8,0.854,0.012,0.004,1.7,62
4001110,섬진강,2025-12-19,11,7.1,9.3,2.3,3.4,2.2,1.733,0.021,0.005,1.5,146
1012110,소양강,2025-12-19,12,7.1,7.3,0.7,1.7,2,1.845,0.009,0.005,0.1,82
2021210,운문,2025-12-19,11,7.4,9.9,1.8,3.4,4.5,1.52,0.011,0.006,4.5,59
2018110,남강,2025-12-19,11,7.4,8.1,1.6,1.3,2,1.895,0.007,0.005,3,76
3203110,보령,2025-12-19,11,7.7,9.2,0.9,2.4,1.5,2.01,0.013,0.001,3.2,164
2001110,안동,2025-12-19,10,5.7,5.8,1.1,3,0.6,1.339,0.012,0.006,0.5,208
2002110,임하,2025-12-19,11,7,6.9,1.4,4.5,1.8,1.593,0.02,0.011,2.7,189
5002201,평림,2025-12-19,11,7.4,10.3,1.1,3.9,1.6,1.108,0.018,0,4.4,
2015110,합천,2025-12-19,12,7.5,9.8,0.5,3,3.6,,0.009,0.002,1.9,112
5101110,장흥,2025-12-19,11,7.6,7.4,2,3.6,1.9,0.569,0.06,0.003,2.2,72
2021110,밀양,2025-12-19,12,7.6,9.1,0.7,2.3,1.2,0.961,0.006,0.006,3.1,78
1003110,충주,2025-12-19,13,8.1,8.9,1.2,1.8,1.2,2.27,0.008,0,2.1,244
2008101,군위,2025-12-19,10,7,9.1,0.4,4.7,1.5,1.378,0.012,0,2.1,93
1006110,횡성,2025-12-19,7,7.2,8.1,1.5,2.3,1.5,1.844,0.009,0.003,1.4,152
2012210,영천,2025-12-19,11,7.7,9.2,3.7,4.8,5.2,1.588,0.024,0.018,5.1,118
4007110,주암(본),2025-12-19,14,7,7.3,0.7,2.7,0.8,0.795,0.012,0.01,2,63
3303110,부안,2025-12-19,11,6.9,9.3,1,2.8,0.3,1.317,0.007,0.002,1,74
3008110,대청,2025-12-19,9,8.2,9.4,0.8,1.5,1.2,1.951,0.02,0.007,0.7,161
2503210,연초,2025-12-19,13,7.2,8.8,0.9,2.5,3.6,,,,2.7,
4105210,수어,2025-12-19,14,7.5,10.4,1.4,2.7,0.6,0.776,0.011,0.007,0.8,84
3001110,용담,2025-12-19,12,7.6,11,1.2,3.5,0.4,1.793,0.005,0,0.8,118
2503220,구천,2025-12-19,10,6.9,8.3,0.7,1.7,4.8,,,,1.9,
2503220,구천,2025-11-19,16,6.6,6.3,0.6,1.8,13.6,,,,2.7,
2503210,연초,2025-11-19,19,7.4,10.4,1,4.4,10.6,,,,3.9,
3303110,부안,2025-11-19,18,6.8,8.2,1,2.4,0.7,2.105,0.001,0,1,73
5002201,평림,2025-11-19,18,7.3,9.2,0.3,3.4,1.2,0.925,0.037,0.007,2.7,
3008110,대청,2025-11-19,14,8,8.5,0.7,1.3,2.8,2.279,0.018,0.004,0.9,147
2018110,남강,2025-11-19,16,7.5,7.5,1.2,2.2,0.8,1.883,0.011,0.011,3.2,78
4001110,섬진강,2025-11-19,14,7.1,9.4,2.3,2.9,2.3,1.731,0.022,0,1.5,152
2001110,안동,2025-11-19,8,6.9,5.3,1.5,3,0.8,1.541,0.017,0.011,0.7,181
1003110,충주,2025-11-19,17,7.4,6,1.2,1.8,1.6,2.34,0.016,0.001,1.7,215
2008101,군위,2025-11-19,14,7.2,8.4,0.7,7.4,6.6,2.109,0.015,0.003,2.9,90
4104610,주암(조),2025-11-19,19,6.6,4,0.1,2.7,1.8,1.082,0.027,0.003,2.4,64
4007110,주암(본),2025-11-19,18,6.9,6.6,0.9,2.9,4.8,0.905,0.019,0,2.1,60
3203110,보령,2025-11-19,17,7.8,8.8,1.3,1.6,1.6,1.759,0.008,0.001,3.6,152
2021210,운문,2025-11-19,15,7.1,7.7,1.7,3.7,5.3,1.656,0.02,0.011,5,56
2015110,합천,2025-11-19,14,7.8,9.1,1.3,2.6,1.6,2.389,0.01,0,3.4,117
2002110,임하,2025-11-19,11,6.9,5.3,1.8,3.9,25,1.756,0.028,0.017,31.3,176
4105210,수어,2025-11-19,19,7.6,9.5,1,2.8,0.9,0.945,0.01,0.008,1.1,102
5101110,장흥,2025-11-19,15,7.1,8.9,2.4,3.5,1.2,0.589,0.021,0.002,0.9,68
2021110,밀양,2025-11-19,16,7.5,8.5,1.3,6.1,1.2,0.921,0.009,0.003,3.5,55
1006110,횡성,2025-11-19,14,7,8.1,2.2,2.6,1,2.187,0.01,0.002,1.6,150
3001110,용담,2025-11-19,17,7.7,10.6,0.9,3.4,0.8,1.733,0.008,0,0.5,116
2012210,영천,2025-11-19,17,7.6,7.7,3.5,4.3,4,1.581,0.032,0.02,7.8,109
1012110,소양강,2025-11-19,11,7.4,8.1,1.1,1.6,0.7,1.828,0.001,0.001,0.1,82
4105210,수어,2025-10-19,24,7.8,9.1,1.1,3.1,0.6,1.054,0.011,0.008,0.9,96
2503220,구천,2025-10-19,16,6.3,4.5,0.8,1.3,4,,,,5.1,
2021110,밀양,2025-10-19,17,7.5,8.3,1.4,2.3,9.7,1.498,0.003,0.003,3.1,90
2001110,안동,2025-10-19,10,7.1,4.5,1.3,2.8,0.7,1.67,0.017,0.011,0.8,190
2002110,임하,2025-10-19,14,7.1,5.2,1.8,5.8,117,2.106,0.039,0.03,135.8,157
4001110,섬진강,2025-10-19,15,7.2,9.1,2.8,3.2,2.5,1.922,0.024,0,1.6,155
5101110,장흥,2025-10-19,17,6.9,6.8,2.2,2.9,2.1,0.657,0.008,0.003,2.8,72
2012210,영천,2025-10-19,19,7.5,5.7,4.2,5.4,29.6,1.692,0.071,0.032,47.2,99
3001110,용담,2025-10-19,19,7.5,9.7,0.9,3.4,1.2,1.694,0.007,0,0.7,124
1006110,횡성,2025-10-19,16,7.3,8.1,2.1,2.6,2,2.428,0.011,0.003,2.6,156
5002201,평림,2025-10-19,24,6.9,3.6,0.6,3.4,0.8,1.607,0.032,0.011,3.3,
2015110,합천,2025-10-19,11,7.8,8.6,0.3,3.8,0.4,1.852,0.015,0,2.3,116
4104610,주암(조),2025-10-19,18,6.6,2.9,0.6,2.6,0.6,1.085,0.01,0.002,1.4,64
3303110,부안,2025-10-19,23,6.6,7.7,1.2,2,0.9,1.402,0.003,0,0.8,72
2021210,운문,2025-10-19,17,6.9,7.2,1.6,3.2,12.1,1.601,0.021,0.01,11.8,56
3008110,대청,2025-10-19,13,7,7.7,1.2,1.9,1.6,2.626,0.027,0.012,1.5,170
2503210,연초,2025-10-19,21,6.7,7.5,1.1,2.8,10.5,,,,9.9,
1012110,소양강,2025-10-19,14,6.9,7.4,0.3,1.8,0.3,2.003,0.003,0.002,0.4,83
3203110,보령,2025-10-19,21,7.4,6.9,1.9,2.6,2.1,2.586,0.014,0.003,3,144
2018110,남강,2025-10-19,20,7.5,7.8,0.9,3.2,1.2,1.221,0.029,0.011,3.3,68
2008101,군위,2025-10-19,19,7.8,8.7,0.9,6.3,6,1.015,0.024,0.005,7.1,91
4007110,주암(본),2025-10-19,20,6.9,5.6,1.3,2.9,3.6,1.161,0.031,0.017,8,62
5101110,장흥,2025-09-19,17,7.6,6.5,2.1,2.7,1.7,0.468,0.018,0.001,2.1,64
1003110,충주,2025-09-19,18,8.1,3.8,1.5,2,0.4,2.214,0.006,0,0.6,254
4007110,주암(본),2025-09-19,17,6.7,2.9,0.8,2.8,2.2,0.905,0.013,0,1.3,68
2012210,영천,2025-09-19,23,7.3,6.7,4,4.9,0.8,1.514,0.011,0.007,2.3,127
2008101,군위,2025-09-19,26,9.5,10.4,1.2,5.1,1.6,1.137,0.011,0,1.1,106
2002110,임하,2025-09-19,15,7.4,3.5,1.4,3.3,0.7,1.579,0.018,0.015,0.6,170
2018110,남강,2025-09-19,24,7.1,7.1,1,2.9,10.8,1.78,0.056,0.011,32.2,85
1012110,소양강,2025-09-19,13,7.2,8.9,1.1,1.9,0.3,2.593,0.002,0.001,0.1,80
3008110,대청,2025-09-19,13,6.7,8.3,1.4,2.8,2,2.114,0.027,0.008,0.5,175
3303110,부안,2025-09-19,24,6.6,8.6,1.1,3,1.5,1.374,0.007,0.001,1,76
4104610,주암(조),2025-09-19,17,6.7,4.6,0.2,2.7,0.4,1.15,0.011,0.006,1.2,64
4105210,수어,2025-09-19,27,7.9,7.9,0.9,2.8,0.5,0.812,0.013,0.008,0.7,85
2021110,밀양,2025-09-19,23,6.8,8.3,1.3,2.4,13,1.563,0.007,0.002,2.4,48
2001110,안동,2025-09-19,11,7.1,5.7,1.1,2.9,0.4,1.784,0.015,0.007,0.8,215
2015110,합천,2025-09-19,11,8.1,8,1.4,3.1,0.4,1.734,0.032,0.018,1.4,118
2503210,연초,2025-09-19,25,6.6,5.8,0.9,3.2,9.6,,,,6.4,
4001110,섬진강,2025-09-19,17,7.5,9.1,2.2,3.3,2.7,1.745,0.014,0,1.8,145
3001110,용담,2025-09-19,23,7.8,8.7,0.7,3.2,0.8,1.735,0.011,0,0.8,124
2021210,운문,2025-09-19,19,7.4,6,2,3.8,10.6,1.712,0.02,0.006,11,63
5002201,평림,2025-09-19,24,6.9,3.6,0.6,3.4,1.2,1.607,0.032,0.011,3.3,
1006110,횡성,2025-09-19,14,7.1,7.6,1.8,2.4,1.4,1.972,0.012,0.003,2,154
2503220,구천,2025-09-19,18,6.6,4.1,1,2.4,4.6,,,,0.7,
3203110,보령,2025-09-19,26,7,5.4,1.9,4.2,2,1.841,0.015,0.002,4.4,138
2018110,남강,2025-08-19,26,7.1,7.5,0.3,4.1,2.8,1.884,0.023,0.011,77.9,71
3001110,용담,2025-08-19,25,7.6,9.1,1.3,3.3,0.8,1.17,0.007,0,0.4,125
2008101,군위,2025-08-19,29,9.4,9.7,1,4.8,1,1.048,0.015,0,0.5,110
2015110,합천,2025-08-19,11,8.7,9.2,0.9,3.7,4.4,1.662,0.006,0,1.1,115
3303110,부안,2025-08-19,16,6.7,8.3,1.2,2.6,1,1.953,0.005,0.001,1,73
3008110,대청,2025-08-19,14,7.1,9.5,1.2,2.5,2.4,2.295,0.017,0.002,2.5,172
5002201,평림,2025-08-19,17,7.5,5.3,2,2.4,1.2,1.22,0.033,0.01,2.8,
3203110,보령,2025-08-19,21,7.3,5.7,1.4,3.3,2.4,1.687,0.019,0.006,3.9,134
1003110,충주,2025-08-19,14,8.5,7.5,1.3,2.6,0.4,2.432,0.003,0,0.8,256
2503220,구천,2025-08-19,17,7,4,0.9,2,19.2,,,,2.1,
2001110,안동,2025-08-19,10,8.1,9.9,1.2,3.1,0.3,1.925,0.023,0.006,0.7,187
4001110,섬진강,2025-08-19,17,7.4,9.6,2.1,3.2,2.8,1.805,0.015,0,1.8,144
2021110,밀양,2025-08-19,23,7.2,8.9,1.5,2.8,10.1,1.535,0.02,0.018,7.1,52
2503210,연초,2025-08-19,26,7,5,0.9,3.3,9.6,,,,2.9,
2012210,영천,2025-08-19,27,7.8,8.4,2.7,5.3,2,1.348,0.021,0.01,2.2,127
2021210,운문,2025-08-19,18,7.8,7.1,2.1,3.8,16.9,1.651,0.019,0.004,17.7,58
1012110,소양강,2025-08-19,11,7.4,9.6,1,1.6,2,1.909,0.004,0.003,0.4,76
4105210,수어,2025-08-19,31,9.4,11.4,1,1.8,0.5,1.218,0.01,0.008,1.1,90
1006110,횡성,2025-08-19,16,7.2,8.1,2,2.6,1.2,1.856,0.01,0.002,1.8,160
2002110,임하,2025-08-19,16,7.8,5.1,1.1,5.2,0.7,1.802,0.021,0.01,0.5,170
5101110,장흥,2025-08-19,20,7.5,7.1,2.1,3.1,2.1,0.328,0.025,0.002,1.4,73
4104610,주암(조),2025-08-19,11,6.7,5.4,0.4,2.6,1,0.942,0.008,0,1.9,69
4007110,주암(본),2025-08-19,22,7.1,4.9,0.9,2.8,1.6,0.839,0.012,0.005,7.8,62
5101110,장흥,2025-07-19,25,7,7.8,2.6,3.1,1.7,0.341,0.016,0.002,3.6,94
3203110,보령,2025-07-19,16,7.2,7.1,1,3.4,3.2,1.492,0.023,0,3.4,134
1012110,소양강,2025-07-19,9,7,9.5,1.3,1.9,1,1.917,0.008,0.001,0.3,75
5002201,평림,2025-07-19,21,7,7.9,1,4.4,1.2,1.25,0.094,0.017,3.6,127
2015110,합천,2025-07-19,10,9.6,9.1,0.8,2.1,4.4,1.551,0.006,0,1.1,116
2018110,남강,2025-07-19,24,7.3,8.2,0.9,4,3.2,2.134,0.015,0.01,15.3,89
2001110,안동,2025-07-19,9,7.5,7.4,1.2,3.4,0.1,1.416,0.014,0.008,0.9,177
2021210,운문,2025-07-19,15,7.5,7.9,1.5,3.2,4.4,1.739,0.043,0.017,4.7,73
4105210,수어,2025-07-19,26,9.1,9.9,1.5,3.8,0.4,1.098,0.014,0.008,1,116
2002110,임하,2025-07-19,15,6.9,6.9,1.3,4.8,1,1.642,0.019,0.011,0.4,175
1006110,횡성,2025-07-19,17,7.1,7.8,2,2.6,1,1.872,0.008,0.002,1.4,162
4001110,섬진강,2025-07-19,17,7.4,9.8,2.3,4,3.2,1.819,0.015,0,1.9,145
2503220,구천,2025-07-19,15,6.6,5.7,0.9,2.6,18.4,,,,3.4,
4007110,주암(본),2025-07-19,20,7.1,8.9,0.6,2.7,0.6,0.716,0.003,0,2.4,79
2012210,영천,2025-07-19,21,7.6,7.8,2.5,5,3,1.605,0.021,0.017,11.5,134
2503210,연초,2025-07-19,25,6.9,6.9,1,4,8.4,,,,7.1,
3303110,부안,2025-07-19,18,6.7,8.7,1.1,2.4,0.4,1.228,0.006,0.002,0.8,76
4104610,주암(조),2025-07-19,9,6.3,8.8,0.6,2.5,0.4,0.981,0.004,0,1.6,77
2021110,밀양,2025-07-19,20,7.1,9.2,0.7,2,0.7,1.055,0.007,0.002,2.9,69
3008110,대청,2025-07-19,9,7.5,10.2,1.1,2.2,1.6,2.191,0.012,0.004,0.3,120
3001110,용담,2025-07-19,20,7.8,9.3,1,3.9,0.8,1.046,0.005,0,1.8,126
2008101,군위,2025-07-19,23,9.1,9,0.5,5.1,0.2,1.219,0.007,0,0.7,108
1003110,충주,2025-07-19,11,8.1,9,2.1,3,1,2.492,0.02,0.001,1.1,247
5002201,평림,2025-06-19,19,7.5,7.6,1.7,3.9,1.2,0.867,0.01,,2.6,125
2021110,밀양,2025-06-19,19,7.2,9.5,0.7,0.8,0.9,0.755,0.006,0.003,2.8,72
4104610,주암(조),2025-06-19,7,7,8.9,0.8,2.4,0.6,0.939,0.012,0.001,1,78
2021210,운문,2025-06-19,13,8,9.5,1.4,3.4,3.8,1.889,0.012,0.005,3.2,71
3203110,보령,2025-06-19,13,7.6,7.2,1.9,2.8,1.3,1.681,0.012,0.003,1.5,130
2018110,남강,2025-06-19,22,7.7,8.5,0.3,4.1,3.2,0.539,0.01,0.006,2.3,104
3008110,대청,2025-06-19,7,6.6,11.8,1.7,3,1.2,2.043,0.029,0.009,0.5,167
4001110,섬진강,2025-06-19,16,7.3,9.9,2.1,4.2,2.9,1.879,0.014,0,1.9,143
1006110,횡성,2025-06-19,16,7,10,1.9,2.6,1,2.042,0.01,0.003,1.4,152
2012210,영천,2025-06-19,20,8.3,8.2,3.9,5,6.5,1.353,0.016,0.008,4.4,155
4105210,수어,2025-06-19,24,9.1,10.2,1.9,2.7,1,1.069,0.015,0.01,1.2,109
4007110,주암(본),2025-06-19,12,5.7,8.1,0.4,2.5,0.8,0.765,0.005,0.002,1.1,79
3001110,용담,2025-06-19,20,7,10.1,1.4,3.7,1.6,1.416,0.009,0,1.2,127
5101110,장흥,2025-06-19,19,8.1,9.4,2.1,2.3,1.6,0.374,0.013,0,1.3,107
2015110,합천,2025-06-19,10,9.7,9.5,0.7,0.8,3.6,1.81,0.009,0.004,1.1,117
2001110,안동,2025-06-19,8,7,10.6,1,2.8,0.4,1.574,0.017,0.008,0.9,188
2503220,구천,2025-06-19,14,6.8,6.3,1,1.8,8.4,,,,1.5,
1003110,충주,2025-06-19,12,7.9,10.4,1.1,3.3,0.4,2.481,0.005,0,0.9,241
1012110,소양강,2025-06-19,12,7.1,10.1,0.9,2.4,1,1.959,0.005,0.003,1.6,72
2002110,임하,2025-06-19,13,7.9,10.4,1.6,4.6,0.1,1.842,0.018,0.009,0.4,189
2008101,군위,2025-06-19,23,8.2,9.2,0.4,4.1,0.2,1.057,0.012,0,0.8,108
2503210,연초,2025-06-19,21,7,6.7,0.9,3.2,9.6,,,,2.3,
3303110,부안,2025-06-19,15,6.7,8.9,1.1,2.6,0.8,1.284,0.005,0,0.8,74
5101110,장흥,2025-05-19,15,7.7,9.5,1.5,2.3,0.6,0.812,0.013,0.001,1.5,77
